date,ticker,Open,High,Low,Close,Adj Close,Volume
2018-12-11,BBRI.JK,3281.761474609375,3299.943115234375,3254.4892578125,3290.852294921875,2124.513671875,123936060.0
2018-12-12,BBRI.JK,3290.852294921875,3309.03369140625,3263.580078125,3290.852294921875,2124.513671875,97374011.0
2018-12-13,BBRI.JK,3354.487548828125,3354.487548828125,3318.12451171875,3345.396728515625,2159.726806640625,116914199.0
2018-12-14,BBRI.JK,3336.305908203125,3354.487548828125,3309.03369140625,3345.396728515625,2159.726806640625,135202785.0
2018-12-17,BBRI.JK,3318.12451171875,3345.396728515625,3272.670654296875,3272.670654296875,2112.7763671875,137139148.0
2018-12-18,BBRI.JK,3227.217041015625,3309.03369140625,3227.217041015625,3299.943115234375,2130.382568359375,130615046.0
2018-12-19,BBRI.JK,3272.670654296875,3336.305908203125,3272.670654296875,3336.305908203125,2153.85791015625,146409778.0
2018-12-20,BBRI.JK,3281.761474609375,3327.21533203125,3281.761474609375,3318.12451171875,2142.12060546875,74063179.0
2018-12-21,BBRI.JK,3281.761474609375,3299.943115234375,3272.670654296875,3290.852294921875,2124.513671875,191917014.0
2018-12-24,BBRI.JK,3290.852294921875,3290.852294921875,3290.852294921875,3290.852294921875,2124.513671875,0.0
2018-12-25,BBRI.JK,3290.852294921875,3290.852294921875,3290.852294921875,3290.852294921875,2124.513671875,0.0
2018-12-26,BBRI.JK,3227.217041015625,3299.943115234375,3199.94482421875,3272.670654296875,2112.7763671875,91749064.0
2018-12-27,BBRI.JK,3318.12451171875,3336.305908203125,3290.852294921875,3327.21533203125,2147.989501953125,78890942.0
2018-12-28,BBRI.JK,3345.396728515625,3345.396728515625,3318.12451171875,3327.21533203125,2147.989501953125,135242605.0
2018-12-31,BBRI.JK,3327.21533203125,3327.21533203125,3327.21533203125,3327.21533203125,2147.989501953125,0.0
2019-01-01,BBRI.JK,3327.21533203125,3327.21533203125,3327.21533203125,3327.21533203125,2147.989501953125,0.0
2019-01-02,BBRI.JK,3281.761474609375,3309.03369140625,3263.580078125,3281.761474609375,2118.645263671875,82441033.0
2019-01-03,BBRI.JK,3254.4892578125,3309.03369140625,3254.4892578125,3290.852294921875,2124.513671875,102805905.0
2019-01-04,BBRI.JK,3290.852294921875,3327.21533203125,3281.761474609375,3327.21533203125,2147.989501953125,125907734.0
2019-01-07,BBRI.JK,3363.578369140625,3372.6689453125,3327.21533203125,3327.21533203125,2147.989501953125,82106628.0
2019-01-08,BBRI.JK,3327.21533203125,3345.396728515625,3299.943115234375,3345.396728515625,2159.726806640625,89499635.0
2019-01-09,BBRI.JK,3372.6689453125,3399.941162109375,3354.487548828125,3381.759765625,2183.2021484375,131331598.0
2019-01-10,BBRI.JK,3399.941162109375,3409.031982421875,3372.6689453125,3409.031982421875,2200.808837890625,156122176.0
