ticker,missing_date
BMRI.JK,2018-09-11
BMRI.JK,2018-11-20
BMRI.JK,2018-12-24
BMRI.JK,2018-12-25
BMRI.JK,2018-12-31
BMRI.JK,2019-01-01
BMRI.JK,2019-02-05
BMRI.JK,2019-03-07
BMRI.JK,2019-04-03
BMRI.JK,2019-04-17
BMRI.JK,2019-04-19
BMRI.JK,2019-05-01
BMRI.JK,2019-05-30
BMRI.JK,2019-06-03
BMRI.JK,2019-06-04
BMRI.JK,2019-06-05
BMRI.JK,2019-06-06
BMRI.JK,2019-06-07
BMRI.JK,2019-06-19
BMRI.JK,2019-12-24
BMRI.JK,2019-12-25
BMRI.JK,2019-12-31
BMRI.JK,2020-01-01
BMRI.JK,2020-03-13
BMRI.JK,2020-03-16
BMRI.JK,2020-03-25
BMRI.JK,2020-04-10
BMRI.JK,2020-05-01
BMRI.JK,2020-05-07
BMRI.JK,2020-05-21
BMRI.JK,2020-05-22
BMRI.JK,2020-05-25
BMRI.JK,2020-06-01
BMRI.JK,2020-07-31
BMRI.JK,2020-08-17
BMRI.JK,2020-08-20
BMRI.JK,2020-08-21
BMRI.JK,2020-10-28
BMRI.JK,2020-10-29
BMRI.JK,2020-10-30
BMRI.JK,2020-12-09
BMRI.JK,2020-12-24
BMRI.JK,2020-12-25
BMRI.JK,2020-12-31
BMRI.JK,2021-01-01
BMRI.JK,2021-02-12
BMRI.JK,2021-03-11
BMRI.JK,2021-04-02
BMRI.JK,2021-05-12
BMRI.JK,2021-05-13
BMRI.JK,2021-05-14
BMRI.JK,2021-05-26
BMRI.JK,2021-06-01
BMRI.JK,2021-07-20
BMRI.JK,2021-08-11
BMRI.JK,2021-08-17
BMRI.JK,2021-10-20
BMRI.JK,2021-12-31
BMRI.JK,2022-02-01
BMRI.JK,2022-02-28
BMRI.JK,2022-03-03
BMRI.JK,2022-04-15
BMRI.JK,2022-04-29
BMRI.JK,2022-05-02
BMRI.JK,2022-05-03
BMRI.JK,2022-05-04
BMRI.JK,2022-05-05
BMRI.JK,2022-05-06
BMRI.JK,2022-05-16
BMRI.JK,2022-05-26
BMRI.JK,2022-06-01
BMRI.JK,2022-08-17
BMRI.JK,2023-01-23
BMRI.JK,2023-03-22
BMRI.JK,2023-03-23
BMRI.JK,2023-04-07
BMRI.JK,2023-04-19
BMRI.JK,2023-04-20
BMRI.JK,2023-04-21
BMRI.JK,2023-04-24
BMRI.JK,2023-04-25
BMRI.JK,2023-05-01
BMRI.JK,2023-05-18
BMRI.JK,2023-05-24
BMRI.JK,2023-06-01
BMRI.JK,2023-06-02
BMRI.JK,2023-06-28
BMRI.JK,2023-06-29
BMRI.JK,2023-06-30
BMRI.JK,2023-07-19
BMRI.JK,2023-08-17
BMRI.JK,2023-09-28
BMRI.JK,2023-12-25
BMRI.JK,2023-12-26
BMRI.JK,2024-01-01
BMRI.JK,2024-02-08
BMRI.JK,2024-02-09
BMRI.JK,2024-02-14
BMRI.JK,2024-03-11
BMRI.JK,2024-03-12
BMRI.JK,2024-03-29
BMRI.JK,2024-04-08
BMRI.JK,2024-04-09
BMRI.JK,2024-04-10
